goal_id,employee_id,goal_type,goal_description,set_date,due_date,target_value,achieved_value,achievement_pct,status,quarter,department,priority
GOAL892963,EMP000168,Skill Development,Achieve skill development target for the period,13 Sep 2023,2024-01-29,568835.59,499645.85,87.8%,cancelled,2022 Q1,Fin,MEDIUM
GOAL917507,EMP003022,Revenue Growth,Achieve revenue growth target for the period,18 Apr 2023,21/08/2023,804458.66,,131.4%,Cancelled,Q1 2022,SALES,Low
GOAL537731,EMP016383,Innovation,Achieve innovation target for the period,12-14-2022,2023-04-10,383460.88,409830.15,106.9%,In Progress,Q3 2023,Procurment,Medium
GOAL346562,EMP012665,Innovation,Achieve innovation target for the period,04-01-2021,2021-06-06,821250.82,297832.08,36.3%,completed,Q4 2022,ENGINEERING,N/A
GOAL275509,EMP002243,Team Building,Achieve team building target for the period,12/11/2023,2024-03-17,768072.46,569335.03,74.1%,In Progress,q2 2024,Law,High
GOAL982493,EMP001126,Cost Reduction,Achieve cost reduction target for the period,"January 27, 2021",2021-07-13,312576.76,87914.91,28.1%,in progress,Q2 2022,it,N/A
GOAL186966,EMP019838,Cost Reduction,Achieve cost reduction target for the period,10-04-2021,"February 02, 2022",535552.83,113978.25,21.3%,Overdue,Q2 2022,Law,high
GOAL939641,EMP015532,Productivity,Achieve productivity target for the period,26 Dec 2022,04-25-2023,644762.71,352004.19,54.6%,in progress,Q1 2021,MARKETING,Medium
GOAL228794,EMP000717,Cost Reduction,Achieve cost reduction target for the period,2022/04/03,2022/05/09,169259.92,104505.48,,completed,Q3 2023,R&D,high
GOAL589339,EMP009890,Training Completion,Achieve training completion target for the period,2022-08-03,11-14-2022,603863.3,274141.35,45.4%,,,Administraton,Medium
GOAL726074,EMP013934,Skill Development,,2022/03/15,04-23-2022,490954.97,677581.57,138.0%,In Progress,Q4 2021,marketing,Medium
GOAL455024,EMP008230,Quality Improvement,Achieve quality improvement target for the period,2023/10/30,"April 10, 2024",754187.3,,72.4%,N/A,2022 Q1,engineering,High
GOAL591409,EMP016574,Skill Development,Achieve skill development target for the period,01 Apr 2022,2022-09-27,263026.33,174278.57,66.3%,Cancelled,Q2 2024,Fiance,
GOAL223880,EMP012384,Innovation,Achieve innovation target for the period,2022-06-28,"July 29, 2022",526789.93,625795.17,118.8%,Cancelled,Q1 2022,Human Resources,LOW
