review_id,employee_id,review_period,review_date,reviewer_id,performance_score,rating_label,goals_achieved_pct,communication_score,teamwork_score,leadership_score,technical_score,comments,department,created_at
REV132544,EMP004726,Q3 2022,31 Jan 2024,EMP004998,2.1,5 - Excellent,,1.6,1.4,2.8,3.8,needs improvement,procurement,2024/01/31
REV549145,EMP007510,Q4 2023,01-22-2021,EMP015759,1.8,Average,40%,3.1,1.9,4.2,4.5,Good performer,Fiance,22/01/2021
REV293188,EMP001095,Q3 2023,2022/01/23,EMP007646,2.6,2-Below Average,50%,1.6,3.0,4.0,4.3,Room for growth,Legal,23 Jan 2022
REV916636,EMP016816,Q42021,28 Jan 2021,EMP015546,4.1,GOOD,37%,2.8,2.3,1.7,4.0,EXCEEDED EXPECTATIONS,Finance,2021/01/28
REV979433,EMP006721,Q3 2021,2023-12-28,EMP016269,2.1,good,93%,1.4,1.0,3.7,3.7,N/A,admin,"December 28, 2023"
REV368224,EMP019968,Q1 2024,2022-11-17,EMP002701,4.3,GOOD,50%,4.8,2.0,1.4,3.9,Needs improvement,human resources,17/11/2022
REV806745,EMP014796,Q1 2021,06 Aug 2023,EMP016005,3.5,3-Avg,,3.8,3.8,3.8,4.7,Great team player,Marketting,06/08/2023
REV613762,EMP010181,Q4 2022,08-18-2023,EMP010680,3.6,Below Average,96%,2.8,1.9,1.7,1.6,Needs improvement,FINANCE,2023/08/18
REV483195,EMP019608,Q2 2021,06-09-2022,EMP000422,5.0,AVG,79%,4.2,1.9,2.4,2.6,Exceeded expectations,legal,09 Jun 2022
REV908856,EMP011388,Q2 2023,06-12-2022,EMP003444,3.1,Below Avg,31%,4.0,1.9,4.8,4.7,Shows initiative,Customer service,12/06/2022
REV938782,EMP000426,Q2 2021,01-26-2024,EMP007511,2.1,average,,3.1,1.8,4.2,1.7,,LEGAL,2024-01-26
REV928730,EMP016993,Q2 2022,22 Jul 2024,EMP010062,4.8,5 - Excellent,53%,3.1,4.7,4.2,1.4,Shows initiative,Eng,"July 22, 2024"
REV768915,EMP018370,Q4 2021,2024/02/08,EMP004139,1.7,AVG,27%,3.7,1.5,1.7,3.6,Excellent communicator,Fin,08 Feb 2024
REV848901,EMP006268,Q3 2024,08-19-2021,,1.3,4-Good,73%,4.8,5.0,2.8,3.1,Shows initiative,Slaes,"August 19, 2021"
REV855644,EMP002183,Q2 2024,2023-12-16,EMP012078,2.4,AVG,72%,2.4,1.4,1.9,3.3,consistent results,Admin,2023-12-16
REV797528,EMP014245,Q3 2024,2021/04/29,EMP001330,1.2,below average,47%,2.3,2.9,2.0,2.7,Struggles with deadlines,HR,2021/04/29
REV358897,EMP012219,Q4 2023,18/01/2024,EMP018953,4.0,EXCELLENT,35%,2.2,1.1,4.6,2.3,Room for growth,Marketting,18/01/2024
REV735051,EMP008235,Q1 2024,20/02/2022,EMP012149,,4 - Good,46%,4.9,1.2,3.1,1.0,N/A,Information Technology,02-20-2022
REV710507,EMP005903,Q3 2021,26/04/2023,,3.4,5-Excellent,40%,2.2,4.5,4.1,3.1,Good performer,operations,26 Apr 2023
REV902775,EMP016792,Q3 2022,2021/10/23,EMP000035,3.4,5-Excellent,,2.0,2.1,1.3,,,Fiance,2021-10-23
REV580426,EMP015267,Q1 2022,"October 24, 2023",EMP013477,2.3,Average,27%,1.9,4.2,3.8,1.8,Excellent communicator,operations,2023-10-24
REV852750,EMP009923,Q2 2022,"December 31, 2022",EMP014984,1.6 ,AVG,84%,3.9,,1.8,1.2,Meets expectations,operations,"December 31, 2022"
REV560564,EMP012580,Q3 2023,"December 24, 2023",EMP018224,2.3 ,below average,31%,1.3,4.2,2.4,3.5,Excellent communicator,ADMIN,2023-12-24
REV549070,EMP011113,Q2 2023,"August 28, 2023",EMP011366,4.6,4-Good,35%,4.1,3.6,2.7,4.3,Room for growth,Customer service,08-28-2023
REV709581,EMP007601,Q4 2023,"February 09, 2021",EMP005261,3.5,AVG,29%,4.2,1.3,4.3,1.6,Outstanding leadership,Sale,02-09-2021
REV729431,EMP009390,Q3 2022,"January 21, 2024",EMP012464,,Good,100%,1.4,3.1,,4.1,,Research & Dev,2024/01/21
REV292845,EMP016990,Q1 2023,01-10-2023,EMP014919,3.0,Good,53%,2.2,3.7,3.0,1.1,NEEDS IMPROVEMENT,Engineerng,2023-01-10
REV591292,EMP017515,Q4 2022,2024-01-09,EMP017209,2.6,Below Avg,50%,1.9,3.8,4.2,4.0,N/A,Marketing,2024-01-09
REV602379,EMP007516,Q1 2023,"June 30, 2024",EMP006127,3.8,AVG,,3.8,4.7,,3.6,Meets expectations,Operatons,30 Jun 2024
REV567273,EMP008523,Q3 2021,24 Jun 2022,EMP008379,3.7,GOOD,,4.6,2.7,2.4,2.2,Reliable and dedicated,Fiance,2022-06-24
REV377889,EMP010633,Q3 2021,17/03/2021,EMP019075,3.8,Excellent,43%,1.6,,,,Excellent communicator,Ops,17 Mar 2021
REV315896,EMP005128,Q3 2024,2021/04/08,EMP000989,2.3,good,50%,3.0,4.0,5.0,5.0,Consistent results,Administraton,2021/04/08
REV520298,EMP007843,Q1 2023,"April 28, 2022",EMP018981,2.9,Average,53%,2.3,1.4,4.4,1.1,,marketing,28 Apr 2022
REV823513,EMP014522,Q42022,02 Jun 2024,EMP014515,3.6,GOOD,49%,4.8,4.1,3.2,2.9,Exceeded expectations,OPERATIONS,2024/06/02
REV964615,EMP007581,Q3 2024,22/09/2023,EMP012031,2.8,3-Avg,77%,4.4,2.9,4.3,2.9,,it,22 Sep 2023
REV642350,EMP001666,Q4 2023,08-06-2021,EMP013761,2.1,Below Avg,77%,4.6,2.5,2.9,3.0,Room for growth,I.T.,2021-08-06
REV827833,EMP015060,Q2 2023,"February 19, 2021",EMP004169,2.1,2-Below Average,25%,1.9,3.4,2.3,4.2,Shows initiative,PROCUREMENT,2021-02-19
REV865344,EMP019273,Q2 2023,2021/02/19,EMP008126,3.6,GOOD,65%,4.2,3.3,2.8,,Reliable and dedicated,Customer service,"February 19, 2021"
REV233719,EMP002156,Q1 2021,19/12/2022,EMP014596,4.0,average,86%,5.0,3.4,1.8,1.9,Struggles with deadlines,Enginering,19/12/2022
REV210552,EMP017166,Q2 2022,2022-09-07,EMP007684,"""4.4""",5-Excellent,66%,4.1,4.1,3.4,,N/A,Marketing,"September 07, 2022"
REV939606,EMP006515,Q1 2024,"June 01, 2021",EMP015607,2.2,good,41%,4.8,3.8,2.2,4.2,Good performer,R&D,2021/06/01
REV456145,EMP014062,Q3 2024,"June 22, 2024",EMP006341,1.0,3-Avg,52%,4.9,4.0,2.5,3.6,Excellent communicator,Marketting,22/06/2024
REV216726,EMP019026,Q3 2024,"March 12, 2023",EMP002464,,good,28%,1.3,2.0,3.4,4.6,consistent results,FINANCE,12/03/2023
REV146863,EMP019206,Q2 2023,21 Feb 2023,EMP004168,3.8,3-Avg,93%,3.1,3.1,2.7,,N/A,Human Resources,02-21-2023
REV769996,EMP005296,Q1 2022,2021/05/21,EMP018132,3.5,4 - Good,20%,2.2,1.1,1.3,1.7,Meets expectations,Operatons,05-21-2021
REV825103,EMP014621,Q2 2023,"February 13, 2023",EMP005846,1.5,4-Good,35%,4.1,3.8,4.4,1.2,Consistent results,Procurement,2023-02-13
REV135977,EMP016361,Q2 2023,08-10-2021,EMP002036,1.5,good,31%,4.1,1.9,2.2,3.8,Excellent communicator,Research and Development,2021/08/10
REV567079,EMP019654,Q3 2024,"March 29, 2023",EMP012425,4.3,Below Average,,1.7,1.3,,1.8,Good performer,Admin,03-29-2023
REV986969,EMP005562,Q3 2023,30/11/2022,EMP003295,2.0,Average,22%,1.9,,2.8,4.8,needs improvement,Legel,2022-11-30
REV944269,EMP009398,Q4 2023,2021/04/24,EMP008023,3.3,below average,42%,2.2,2.6,1.7,3.6,Reliable and dedicated,it,"April 24, 2021"
REV190144,EMP017216,Q3 2022,30/03/2021,EMP016274,3.2,Good,20%,4.2,3.4,2.3,4.0,Outstanding leadership,Marketing,30 Mar 2021
REV830565,EMP009749,Q1 2022,2022-12-05,EMP011357,,average,25%,5.0,3.5,,4.6,,LEGAL,05/12/2022
REV296085,EMP978206,Q3 2024,08/04/2024,EMP010818,3.8,excellent,67%,4.4,2.9,4.7,4.5,Exceeded expectations,it,2024/04/08
REV575235,EMP000323,Q4 2021,"September 26, 2024",EMP001414,3.2 ,Below Avg,65%,3.3,3.1,2.0,,Room for growth,Humaan Resources,26 Sep 2024
REV686619,EMP019518,Q2 2021,14 Jul 2022,EMP001130,1.5,Below Average,37%,1.9,2.8,4.6,2.8,Reliable and dedicated,Mktg,14 Jul 2022
REV899841,EMP016431,Q1 2024,08 Jul 2024,EMP003238,4.8,4-Good,54%,2.7,3.5,,4.8,Shows initiative,Operatons,08/07/2024
REV771154,EMP011885,Q4 2023,2021/05/09,EMP019404,4.2,GOOD,46%,3.5,3.4,3.4,3.9,needs improvement,FINANCE,09 May 2021
REV526838,EMP001102,Q3 2022,02-03-2022,EMP015204,3.4,Average,61%,2.3,4.3,1.4,4.1,Excellent communicator,Marketting,"February 03, 2022"
REV595576,EMP012000,Q2 2024,2021/09/15,EMP009343,1.4,Good,71%,2.2,4.1,3.1,4.3,Outstanding leadership,Administraton,2021/09/15
REV935655,EMP006454,Q1 2024,04-18-2024,,4.7,Average,62%,,4.5,,3.4,Shows initiative,PROCUREMENT,2024-04-18
REV143990,EMP007324,Q12021,03/11/2023,EMP006625,4.8,Good,31%,4.4,1.4,3.8,1.3,Shows initiative,SALES,2023-11-03
REV848127,EMP004097,Q4 2022,"February 07, 2023",EMP012732,"""4.0""",Excellent,61%,5.0,5.0,1.2,4.6,Excellent communicator,ENGINEERING,07 Feb 2023
REV753556,EMP012051,Q4 2022,24/02/2022,EMP006924,4.8,4 - Good,100%,,1.5,3.0,4.6,good performer,Administraton,24 Feb 2022
REV523011,EMP017682,Q3 2022,27 Apr 2023,EMP008845,2.7,AVG,21%,3.3,1.2,1.3,4.2,Room for growth,Sales,27 Apr 2023
REV528530,EMP003262,Q3 2022,08-11-2022,EMP015882,2.7,4 - Good,64%,1.4,2.7,4.6,1.5,Exceeded expectations,H.R.,11 Aug 2022
REV304397,EMP007855,Q1 2024,03/06/2021,EMP000294,3.6,4 - Good,68%,1.5,1.2,4.5,3.5,consistent results,HR,03 Jun 2021
REV675145,EMP001096,Q3 2023,"May 09, 2021",EMP007390,1.7,3 - Average,36%,5.0,2.5,3.6,4.6,N/A,Legal,09 May 2021
REV377150,EMP005653,Q4 2022,"April 30, 2023",EMP006800,3.2,Below Avg,59%,4.4,2.2,2.0,2.0,Consistent results,Law,04-30-2023
REV350095,EMP006420,Q4 2023,23/06/2023,EMP009863,,Good,90%,1.2,4.9,1.3,2.8,Meets expectations,Engineering,2023/06/23
REV332063,EMP003457,Q2 2021,"December 13, 2023",EMP014593,3.5,Average,83%,2.0,1.5,,3.9,Good performer,ENGINEERING,"December 13, 2023"
REV410249,EMP003678,Q1 2023,2023/10/27,EMP012554,2.5,4 - Good,64%,2.6,3.5,2.1,1.3,Consistent results,Proc,2023/10/27
