training_id,employee_id,course_name,category,start_date,end_date,duration_days,completion_status,score,cost_lkr,trainer,department,year
TRN143001,EMP010719,Conflict Resolution,Leadership,09-08-2021,09-19-2021,11,In Progress,85,8935.06,online,Customer Support,2021
TRN444553,EMP012979,Digital Transformation,TECHNICAL,21 Jul 2021,01 Aug 2021,11,in progress,95,55240.39,online,procurement,2021
TRN156175,EMP002393,Python for Analytics,Soft Skills,04-02-2024,04-11-2024,9,,40,28140.4,Internal,OPERATIONS,2024
TRN927831,EMP008439,Design Thinking,Compliance,07-05-2020,16/07/2020,11 days,In Progress,83,47951.71,online,Administraton,
TRN889149,EMP005511,SQL Essentials,Leadership,10/10/2021,17/10/2021,7,completed,96,66662.78,internal,ADMIN,2021
TRN742290,EMP001224,Financial Acumen,TECHNICAL,2020-04-17,05-01-2020,14,Dropped,93,52167.77,Online,r&d,2020
TRN736773,EMP004058,Conflict Resolution,Technical,04-08-2021,,15,in progress,58,138879.51,Internal,Ops,2021
TRN550238,EMP010305,Risk Management,Leadership,2021-11-17,2021/11/30,13,Dropped,96,64941.87,EXTERNAL,Legal,2021
TRN330880,EMP015415,SQL Essentials,Soft Skills,2021/09/14,09-26-2021,12,Dropped,72,64527.88,EXTERNAL,ADMIN,2021
TRN711631,EMP016156,Advanced Excel,Technical,2023/06/15,17/06/2023,2,,91,117214.03,,procurement,2023
TRN775109,EMP009911,Project Management,TECHNICAL,2024/01/04,2024-01-05,1,Incomplete,84,44904.48,online,Research and Development,2024
TRN111396,EMP005821,Advanced Excel,Leadership,"June 21, 2022",30 Jun 2022,9,In Progress,90,11735.71,EXTERNAL,MARKETING,2022
TRN819778,EMP005285,HR Compliance,TECHNICAL,2024-02-03,"February 16, 2024",13,in progress,,132727.25,,engineering,2024
TRN929767,EMP018778,Communication Skills,TECHNICAL,2021/06/26,"June 28, 2021",2,Dropped,,123994.73,External,Cust Support,2021
TRN601352,EMP015677,Presentation Skills,Soft Skills,19/06/2023,06-23-2023,4,In Progress,84,,internal,Humaan Resources,2023
TRN751252,EMP004772,Six Sigma Green Belt,,04-08-2024,2024/04/10,2,,,94310.27,External,Operatons,
TRN774713,EMP008644,Strategic Planning,Leadership,2020/02/17,02-28-2020,11,In Progress,59,48047.9,Online,Sales,2020
